tanggal,tahun,bulan,kecamatan,produksi_ton_gkg,pred_xgb_produksi_ton_gkg,lag12_produksi_ton_gkg,pred_xgb_panen_bersih_admin_ha,pred_xgb_yield_monthly_t_ha,pred_deep_produksi_ton_gkg,pred_agronomic_produksi_ton_gkg,prediksi_final_produksi_ton_v8
2024-01-01,2024,1,AJUNG,4139.53925691021,3417.9175,1100.229858,563.77167,6.1901517,1988.9566834470525,3489.832,3318.9921025832064
2024-01-01,2024,1,AMBULU,0.0,1.2698505,0.0,1.2536201,6.1420007,7.007353688728456,7.6997356,2.1444882515132946
2024-01-01,2024,1,ARJASA,573.1538924132232,525.71857,533.5137900000001,73.028175,6.104029,495.59381766531,445.7661,514.4655838049518
2024-01-01,2024,1,BALUNG,0.0,0.4597137,0.0,0.49905515,6.1365175,2.8012038381843736,3.0624607,0.8163204007312203
2024-01-01,2024,1,BANGSALSARI,0.0,1.1944846,0.0,0.62835705,6.1758027,1347.603676576663,3.8806093,1.5285341807070265
2024-01-01,2024,1,GUMUKMAS,819.0327282578911,55.937386,0.0,9.452073,6.2613525,116.31395549494022,59.182762,53.76925514017695
2024-01-01,2024,1,JELBUK,0.0,1.9110403,59.474790000000006,1.0926014,6.1369348,36.348195427004214,6.7052236,5.3244503106491265
2024-01-01,2024,1,JENGGAWAH,148.7897102206716,264.74576,102.851802,40.49472,6.1947966,194.73933721851094,250.85655,255.08678764359001
2024-01-01,2024,1,JOMBANG,3040.249390662163,2220.3494,1659.0680820000002,401.432,6.2008157,1983.760027851899,2489.2058,2232.938498602512
2024-01-01,2024,1,KALISAT,112.47719676348068,170.19768,340.985538,23.910826,6.0554757,663.0205822655257,144.79143,174.56489316285433
2024-01-01,2024,1,KALIWATES,0.0,1.6286709,466.234461,1.3343933,6.202723,232.95907955628815,8.276872,24.520972752117242
2024-01-01,2024,1,KENCONG,0.0,2.5466812,0.0,2.1241465,6.268716,142.1176050547792,13.315671,3.991738296765937
2024-01-01,2024,1,LEDOKOMBO,3642.642452774647,3741.4014,3687.314805,601.5561,6.108754,2062.3190751044012,3674.7583,3729.1624965634883
2024-01-01,2024,1,MAYANG,2782.179529126645,2838.0745,2773.186794,455.06827,6.2024755,1546.1228386599132,2822.5498,2832.755773429899
2024-01-01,2024,1,MUMBULSARI,3041.522331496145,3144.692,1886.1083280000005,487.73254,6.1903267,1882.2175509841659,3019.2239,3067.0595112986557
2024-01-01,2024,1,PAKUSARI,129.4466846262568,183.80396,117.67896,29.325827,6.059454,470.1336103528374,177.6985,179.79592734663368
2024-01-01,2024,1,PANTI,1088.4090259387356,1086.348,1107.5163750000002,192.9319,6.136692,1176.5345988941995,1183.9636,1101.5351630459868
2024-01-01,2024,1,PATRANG,655.729937354982,763.1138,477.572301,115.27556,6.190352,521.8005407969442,713.59625,742.4410650515256
2024-01-01,2024,1,PUGER,0.0,1.2866745,0.0,1.231741,6.2034073,1.1083087423159412,7.6409907,2.1495345622504276
2024-01-01,2024,1,RAMBIPUJI,655.7075530737675,1162.6891,6061.2483600000005,197.93465,6.1465673,1711.6968227580476,1216.6187,1401.7038667597121
2024-01-01,2024,1,SEMBORO,1811.10196658682,1940.7739,1786.49172,315.84732,6.18074,1749.0712047606833,1952.1702,1935.1493418459138
2024-01-01,2024,1,SILO,2801.810353573771,2883.588,2756.619864,477.81772,6.189538,2135.633780586705,2957.471,2888.3346170245914
2024-01-01,2024,1,SUKORAMBI,159.1493285693431,326.94446,1165.7058840000002,56.87664,6.12447,855.5094198140979,348.3393,369.6375584303032
2024-01-01,2024,1,SUKOWONO,618.9139997311916,534.74176,312.318396,77.03216,6.15304,696.4426914153742,473.98193,515.413732378359
2024-01-01,2024,1,SUMBERBARU,1655.2255940138966,2193.4106,1789.9859250000002,354.668,6.135288,2847.9911363266606,2175.9902,2171.839933165004
2024-01-01,2024,1,SUMBERJAMBE,1636.135118237905,2012.9619,1665.29412,321.23203,6.1221356,1722.3940683009446,1966.626,1989.8197336230198
2024-01-01,2024,1,SUMBERSARI,96.9271296463955,172.5397,638.3399400000001,27.515665,6.2272387,1684.7727177661416,171.34662,194.34866591084034
2024-01-01,2024,1,TANGGUL,3278.2082941418093,3430.7979,3338.221734,567.9838,6.1697173,3433.7739182234673,3504.2996,3437.112197450371
2024-01-01,2024,1,TEMPUREJO,0.0,2.4112792,443.084742,1.3117859,6.216036,312.4795533325345,8.154108,24.042556498363734
2024-01-01,2024,1,UMBULSARI,919.2715234774824,807.10895,919.97775,143.3838,6.2694173,347.71231757987584,898.9329,825.7818844826348
2024-01-01,2024,1,WULUHAN,0.0,0.82047874,0.0,0.7239191,6.150655,1.98718965271054,4.4525766,1.309673180415853
2024-02-01,2024,2,AJUNG,4230.852622871464,4221.4077,4110.74892,665.67816,6.2225223,2344.4378937479837,4142.1973,4204.67241423448
2024-02-01,2024,2,AMBULU,0.0,0.9648441,0.0,0.67433393,6.139827,2.9479847305886473,4.1402936,1.3808530161000974
2024-02-01,2024,2,ARJASA,157.90974586894924,626.2901,1885.082058,102.83154,6.0186014,2118.525273405875,618.9021,684.6220751278597
2024-02-01,2024,2,BALUNG,0.0,0.41418523,0.0,0.64997166,6.134107,4.855536224299202,3.9869957,0.913936501141267
2024-02-01,2024,2,BANGSALSARI,211.381650978582,181.45079,3105.7373700000003,32.210476,6.139867,150.04978667622188,197.76804,321.8274545978936
2024-02-01,2024,2,GUMUKMAS,326.3814631403626,252.02583,636.6314448,57.280445,6.270057,44.66818609743832,359.15167,285.7468477512566
2024-02-01,2024,2,JELBUK,202.4136096748362,168.71158,915.911766,25.720655,6.123628,1254.0674465523343,157.50372,202.34494800506317
2024-02-01,2024,2,JENGGAWAH,278.9807066637593,234.4461,36.300636,54.541943,6.260541,128.61269079951182,341.46207,240.6495491102843
2024-02-01,2024,2,JOMBANG,1138.55493375,1906.3655,4674.4545960000005,280.0827,6.257768,2469.094189947148,1752.6926,2014.6631866044818
2024-02-01,2024,2,KALISAT,313.7521804454987,391.35855,2339.866278,61.458,6.0485797,1655.8837676754238,371.7336,480.46147606921477
2024-02-01,2024,2,KALIWATES,146.8920222283814,211.13686,1392.64839,31.091164,6.1569314,529.0970111213653,191.42616,264.0306905064391
2024-02-01,2024,2,KENCONG,900.6246277797611,522.36127,399.355866,115.42752,6.1739783,44.42942199073856,712.64703,544.2138019314823
2024-02-01,2024,2,LEDOKOMBO,3976.991276942368,4104.6875,4025.76399,667.18604,6.0290756,2519.2327274442696,4022.5151,4089.0193676347667
2024-02-01,2024,2,MAYANG,2952.269107326528,2908.9568,2942.726598,478.1708,6.2189274,1596.785990757918,2973.7095,2919.962093787681
2024-02-01,2024,2,MUMBULSARI,3266.1457372154214,3560.5796,4394.874213,566.0105,6.215396,2223.912172528609,3517.9792,3593.760373381537
2024-02-01,2024,2,PAKUSARI,759.0282871266876,1007.2763,1506.2906880000005,167.6374,6.027915,3280.7514772227178,1010.504,1031.2952857648233
2024-02-01,2024,2,PANTI,1342.371131991107,1493.636,1335.006225,227.68694,6.171601,1565.4152578228768,1405.1929,1473.2948643278314
